Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
2,Chris Boswell,41,44,93.2,57,0,9,12,7,13,35,35,17,191.0,11.2,67.0%,98.0
1,Brandon Aubrey,40,47,85.1,65,0,4,8,14,14,30,30,17,192.0,11.3,94.4%,96.91
3,Cameron Dicker,39,42,92.9,59,1,9,9,11,9,33,36,17,179.0,10.5,75.3%,93.53
4,Ka'imi Fairbairn,36,42,85.7,59,0,8,11,4,13,34,36,17,172.0,10.1,81.8%,88.77
5,Jason Sanders,37,41,90.2,57,0,7,13,5,12,26,28,17,166.0,9.8,60.7%,88.68
6,Chase McLaughlin,30,32,93.8,56,0,11,7,4,8,54,56,17,164.0,9.6,69.9%,82.04
8,Wil Lutz,31,34,91.2,55,0,2,13,11,5,46,46,17,160.0,9.4,19.1%,81.86
10,Daniel Carlson,34,40,85.0,54,0,10,11,6,7,23,25,17,145.0,8.5,8.3%,80.95
7,Jake Bates,26,29,89.7,58,0,3,10,7,6,64,67,17,161.0,9.5,85.0%,77.29
14,Matt Gay,31,37,83.8,56,0,9,12,7,3,33,33,16,139.0,8.7,9.3%,76.87
15,Joshua Karty,29,34,85.3,58,0,10,9,4,6,32,36,17,135.0,7.9,6.0%,74.03
12,Jake Elliott,28,36,77.8,50,0,9,10,8,1,47,48,17,141.0,8.3,80.3%,73.85
13,Jason Myers,26,30,86.7,59,0,4,6,7,9,37,40,17,140.0,8.2,18.2%,72.4
19,Chad Ryland,28,32,87.5,58,0,6,11,7,4,26,27,13,125.0,9.6,7.3%,71.78
9,Tyler Bass,24,29,82.8,61,0,6,7,7,4,59,64,17,146.0,8.6,67.1%,71.44
17,Blake Grupe,27,31,87.1,57,0,4,10,7,6,31,33,17,131.0,7.7,7.0%,71.43
18,Cam Little,27,29,93.1,59,0,8,6,8,5,27,27,17,126.0,7.4,1.5%,70.94
23,Austin Seibert,27,30,90.0,55,0,10,7,8,2,22,24,9,115.0,12.8,11.0%,70.04
16,Will Reichard,24,30,80.0,58,0,5,6,5,8,38,38,13,131.0,10.1,17.2%,68.63
11,Justin Tucker,22,30,73.3,56,0,4,7,5,6,60,62,17,143.0,8.4,80.0%,67.98
20,Joey Slye,26,33,78.8,63,0,5,10,5,6,25,26,17,120.0,7.1,0.9%,67.39
21,Younghoe Koo,25,34,73.5,58,0,7,5,7,6,26,26,14,120.0,8.6,50.8%,66.48
22,Jake Moody,24,34,70.6,53,0,9,5,6,4,32,33,14,118.0,8.4,61.0%,64.84
25,Nick Folk,21,22,95.5,56,0,5,2,8,6,25,25,14,108.0,7.7,9.7%,62.21000000000001
26,Eddy Pineiro,22,26,84.6,53,0,7,8,6,1,33,35,17,107.0,6.3,1.4%,61.21000000000001
24,Cairo Santos,21,25,84.0,54,0,4,4,5,8,25,26,17,109.0,6.4,12.8%,60.61999999999999
28,Brandon McManus,20,21,95.2,55,0,5,9,3,3,30,30,11,99.0,9.0,24.5%,59.84
27,Harrison Butker,21,25,84.0,53,1,7,7,4,2,29,31,13,100.0,7.7,65.2%,59.21000000000001
29,Evan McPherson,16,22,72.7,56,0,6,4,3,3,37,38,12,94.0,7.8,28.1%,51.879999999999995
30,Dustin Hopkins,18,27,66.7,56,0,3,6,5,4,17,20,16,84.0,5.3,7.0%,50.63000000000001
31,Greg Joseph,16,20,80.0,52,0,5,5,5,1,11,11,8,66.0,8.3,0.7%,47.290000000000006
34,Matthew Wright,15,16,93.8,50,0,3,8,3,1,6,6,5,56.0,11.2,8.5%,47.120000000000005
