Name,Position,Height,Weight,Arms,Hands
Jamal Adams,S,6-1,213,33 1/2,9 1/4
McTelvin Agim,DT,6-3,300,33 1/2,10 1/4
Abdullah Anderson,DT,6-4,295,,
Tre Avery,N/A,,,,
Chidobe Awuzie,CB,6-0,202,30 3/4,8 1/2
Jerome Baker,OLB,6-2,232,31 1/2,10 1/2
Darrell Baker Jr.,N/A,,,,
Curtis Bolton,LB,6-0,228,,
Tyler Boyd,WR,6-2,203,32,9 3/4
Chandler Brewer,OT,6-6,320,,
Kendell Brooks,SAF,6-0,215,,
Mike Brown,S,5-10,207,,
Jarvis Brownlee Jr.,N/A,,,,
Daniel Brunskill,C,6-5,300,34,10
Logan Bruss,G,6-5,317,33 1/4,10 3/4
Treylon Burks,WR,6-2,225,33 1/2,10
Chance Campbell,LB,6-2,232,31 1/4,10 1/4
Julius Chestnut,RB,5-11,228,,
Keondre Coburn,DT,6-2,332,31 1/2,9 1/4
Morgan Cox,LS,6-4,233,,
Lloyd Cushenberry III,N/A,,,,
Marlon Davidson,DE,6-3,303,33,10
Kellen Diesch,OT,6-7,300,32 1/4,9 1/2
Quandre Diggs,S,5-9,198,29 3/4,9 3/4
Colton Dowell,WR,6-3,212,,
Khalid Duke,LB,6-3,246,32 3/4,9 1/4
Jaelyn Duncan,OT,6-6,306,33 3/4,9 1/4
Mike Edwards,SAF,5-10,205,,
Nick Folk,K,6-1,225,31,9 1/4
Ali Gaye,LB,6-6,265,34 1/4,9 1/2
Jack Gibbens,LB,6-3,242,,
Luke Gifford,LB,6-3,242,,
Cedric Gray,LB,6-2,235,32 1/2,9
Arlington Hambright,G,6-5,300,,
Justin Hardee,DB,6-1,200,,
Jaylen Harrell,LB,6-4,247,33 1/4,9 3/4
Amani Hooker,SAF,5-11,210,30 1/4,9 1/4
DeAndre Hopkins,WR,6-1,212,33 1/2,10
Isaiah Iton,DE,6-2,277,,
Jha'Quan Jackson,N/A,,,,
Gabe Jeudy-Lally,CB,6-1,189,,
Kyron Johnson,LB,6-0,235,,
Ernest Jones,LB,6-2,255,,
Sebastian Joseph-Day,DT,6-4,310,,
Joshua Kelley,RB,5-11,212,31 3/4,9 3/4
Anthony Kendall,CB,5-10,188,,
Arden Key,LB,6-5,240,33 1/2,10
Mason Kinsey,WR,5-11,200,,
Harold Landry,LB,6-2,252,33,9 1/2
JC Latham,OT,6-6,342,35 1/4,11
Corey Levin,G,6-4,307,33 1/2,11
Will Levis,QB,6-4,229,32,10 3/4
James Lynch,RB,5-11,276,,
Tay Martin,WR,6-3,186,,
David Martin-Robinson,TE,6-3,247,,
Roger McCreary,CB,5-11,190,29,9
TK McLendon Jr.,N/A,,,,
Raekwon McMillan,MLB,6-2,250,33,9 3/4
Stanley Morgan,WR,6-0,205,32 1/2,10
Caleb Murphy,LB,6-3,254,32 3/4,10 1/4
"Kenneth Murray, Jr.",N/A,,,,
Brayden Narveson,K,6-0,215,,
Thomas Odukoya,TE,6-6,253,,
John Ojukwu,OT,6-5,309,34,10 3/4
Chig Okonkwo,N/A,,,,
Bryce Oliver,WR,6-1,214,,
Gervarrius Owens,SAF,6-0,200,32,9 1/2
Nicholas Petit-Frere,OT,6-5,315,33 3/4,10 3/4
Tony Pollard,RB,6-0,209,30,9 1/2
Isaiah Prince,OT,6-7,305,35 1/2,10 1/4
Dillon Radunz,OT,6-6,301,34,9
Otis Reese,LB,6-3,214,,
Calvin Ridley,WR,6-1,190,31 3/4,9 1/4
Mason Rudolph,QB,6-5,235,32 1/2,9 1/4
Andrew Rupcich,OT,6-6,318,33,9 1/2
Trevor Siemian,QB,6-3,220,,
Jeffery Simmons,DT,6-4,305,,
Peter Skoronski,G,6-4,313,32 1/4,10
Jabari Small,RB,5-9,198,,
L'Jarius Sneed,N/A,,,,
Tyjae Spears,RB,5-11,195,30 3/4,10
Cole Spencer,G,6-3,307,,
Ryan Stonehouse,P,5-10,193,,
T'Vondre Sweat,N/A,,,,
Nick Vannett,TE,6-6,257,34,10
Garret Wallow,LB,6-2,230,31,9 1/2
Leroy Watson IV,N/A,,,,
Nick Westbrook-Ikhine,WR,6-2,211,,
Josh Whyle,TE,6-7,248,31 1/2,9 1/2
James Williams,,,,,
Julius Wood,DB,6-1,194,,
Daryl Worley,CB,6-1,210,33 1/2,10 1/4
Matthew Wright,K,5-11,174,,
