Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Score,Weighted Score,Combined Score
Vikings,322,1247,3.9,7,3,1,45T,66,20.5,4,380.77,100.0,300.0
Ravens,347,1247,3.6,12,3,0,25T,67,19.3,5,383.47999999999996,99.3640886052187,258.0203055593762
Chiefs,344,1371,4.0,11,5,1,62T,85,24.7,4,420.8,90.60681434203116,231.25991529866272
Dolphins,337,1450,4.3,12,9,2,49T,79,23.4,5,446.39000000000004,84.60202740754644,221.93838094223335
Packers,354,1470,4.2,12,9,0,39T,92,26,6,451.86,83.3184719354233,213.31656688337108
Lions,332,1477,4.4,16,8,1,41T,76,22.9,7,456.62,82.20152055565984,207.7420814735841
Broncos,385,1497,3.9,9,11,3,43,76,19.7,7,459.4699999999999,81.53275764970905,192.2869011858847
Buccaneers,337,1529,4.5,12,9,3,81,86,25.5,10,470.95,78.8389337338089,188.736024471841
Eagles,361,1544,4.3,9,6,0,39,94,26,13,472.39,78.50103247606533,183.19885630421848
Steelers,371,1541,4.2,13,10,3,45T,99,26.7,6,474.85999999999996,77.92143795757462,179.900524207895
Texans,372,1602,4.3,9,10,1,58,86,23.1,6,490.19,74.32419748451287,175.79347607410668
Bills,354,1648,4.7,11,11,3,87T,87,24.6,6,506.11,70.58851135723671,160.47722216841666
49ers,386,1649,4.3,19,5,2,65T,97,25.1,7,509.69,69.74845128590201,157.56153786159686
Falcons,392,1680,4.3,7,6,1,56,108,27.6,9,511.89,69.23221325323823,154.36081673689353
Raiders,385,1697,4.4,12,13,2,61,82,21.3,3,521.12,67.06636005256242,146.6545906294728
Seahawks,383,1785,4.7,11,10,2,76,95,24.8,10,547.11,60.96771165759339,139.8801475611291
Patriots,409,1784,4.4,13,7,3,59,101,24.7,9,547.5199999999999,60.87150366059699,137.2924173335374
Jets,447,1827,4.1,19,5,0,34,115,25.7,7,562.4300000000001,57.37281772104373,132.75884496041036
Chargers,394,1862,4.7,7,12,3,54,101,25.6,5,568.01,56.0634503472874,131.32231104558394
Jaguars,420,1849,4.4,16,11,0,38T,108,25.7,3,568.12,56.03763844565422,123.06179174306338
Saints,381,1881,4.9,16,15,1,65T,106,27.8,5,579.17,53.44471559977475,116.76006061179973
Cowboys,399,1905,4.8,22,9,1,45T,113,28.3,3,588.54,51.24601088792943,109.88631403868976
Browns,426,1911,4.5,19,19,3,75T,96,22.5,5,591.2499999999999,50.610099493148155,107.07215883715027
Bengals,429,1925,4.5,19,10,2,66,122,28.4,9,593.75,50.02346536512109,102.27319178967028
Cardinals,415,1943,4.7,16,11,2,51T,111,26.8,6,597.3100000000001,49.188098366810586,96.16834146142857
Titans,441,1948,4.4,20,17,4,70T,101,22.9,4,602.72,47.91862211376009,92.14273642762673
Rams,431,1971,4.6,13,9,3,72T,105,24.4,3,603.4799999999998,47.740285338839925,87.98698478340117
Bears,427,2012,4.7,18,9,2,53T,111,26,4,618.6099999999999,44.189975596020304,77.3653059968908
Colts,467,2048,4.4,16,9,2,65T,115,24.6,7,628.4200000000001,41.8880232776422,74.07199758840852
Commanders,428,2061,4.8,15,14,2,68T,105,24.5,8,632.9399999999999,40.82738877416935,66.31749363069
Giants,445,2139,4.8,16,18,5,56,119,26.7,9,658.74,34.77332457293036,50.52056541294893
Panthers,514,2628,5.1,21,13,4,46,145,28.2,6,806.9300000000001,0.0,0.0
