Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk,Weighted Score,FG Attempts % of Top
Chris Boswell,40,43,93,0/0,9/9,12/12,7/8,12/13,0/1,57,1,194.82894257152174,100.0
Cameron Dicker,31,33,93.9,1/1,7/7,5/5,9/10,9/10,0/0,59,0,172.9028290996421,76.74418604651163
Chase McLaughlin,26,28,92.9,0/0,9/9,6/6,4/4,7/9,0/0,56,0,165.11627906976744,65.11627906976744
Jason Sanders,33,37,89.2,0/0,5/5,12/12,5/7,11/13,0/0,57,0,161.2013144205247,86.04651162790698
Wil Lutz,29,32,90.6,0/0,2/2,11/12,11/11,5/6,0/1,55,1,160.69947269805726,74.4186046511628
Brandon Aubrey,36,42,85.7,0/0,3/3,6/8,13/15,12/13,2/3,65,2,158.75429657153344,97.67441860465115
Jason Myers,23,27,85.2,0/0,3/3,6/6,7/8,7/8,0/2,59,1,155.24517510021053,62.7906976744186
Nick Folk,21,22,95.4,0/0,5/5,2/2,8/9,6/6,0/0,56,0,151.16279069767444,51.162790697674424
Austin Seibert,27,30,90,0/0,10/10,7/7,8/8,2/5,0/0,55,1,151.1094224042416,69.76744186046511
Matt Gay,25,29,86.2,0/0,8/8,9/9,5/5,3/7,0/0,56,0,150.19495172406934,67.44186046511628
Jake Bates,23,26,88.5,0/0,3/3,10/10,5/6,5/6,0/1,58,0,146.74598432596423,60.46511627906976
Cam Little,22,24,91.7,0/0,7/7,6/6,6/7,3/4,0/0,59,0,140.33093314129582,55.81395348837209
Chad Ryland,25,29,86.2,0/0,5/5,11/11,6/10,3/3,0/0,58,1,138.90606600265676,67.44186046511628
Daniel Carlson,28,34,82.4,0/0,9/9,9/9,4/6,6/10,0/0,54,0,137.3636063044197,79.06976744186046
Jake Elliott,24,31,77.4,0/0,7/7,8/8,8/9,1/6,0/1,50,1,130.9356273964974,72.09302325581395
Blake Grupe,22,26,84.6,0/0,4/4,6/7,6/7,6/7,0/1,57,1,122.05154681037432,60.46511627906976
Justin Tucker,22,30,73.3,0/0,4/4,7/7,5/8,6/11,0/0,56,0,121.25160249902834,69.76744186046511
Eddy Pineiro,21,24,87.5,0/0,7/7,7/8,6/8,1/1,0/0,53,0,117.40038401967665,55.81395348837209
Tyler Bass,22,27,81.5,0/0,6/7,6/6,6/10,3/3,1/1,61,0,116.61601927225199,62.7906976744186
Jake Moody,23,30,76.7,0/0,9/9,5/5,6/10,3/6,0/0,53,0,116.5372098824157,69.76744186046511
Harrison Butker,21,24,87.5,1/1,7/8,7/7,4/4,2/3,0/1,53,0,113.28464443374497,55.81395348837209
Ka'imi Fairbairn,35,41,85.4,0/0,7/9,11/11,4/5,13/16,0/0,59,0,111.4563453160622,95.34883720930233
Younghoe Koo,25,34,73.5,0/0,7/7,5/7,7/11,6/9,0/0,58,2,81.21850421269758,79.06976744186046
Joshua Karty,23,28,82.1,0/0,9/10,7/8,4/6,3/4,0/0,55,0,76.49068665270592,65.11627906976744
Joey Slye,23,30,76.7,0/0,5/6,10/11,3/5,4/6,1/2,63,1,69.76744186046511,69.76744186046511
