Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST,Score
2,Brock Bowers,112,153,1194,10.7,57,15,5,5,0,17,150.7,8.9,98.4%,340.2
3,Trey McBride,111,147,1146,10.3,37,10,2,1,0,16,138.8,8.7,98.7%,326.35
1,George Kittle,78,94,1106,14.2,43,21,8,0,0,15,158.6,10.6,98.7%,307.8
4,Jonnu Smith,88,111,884,10.0,57,4,8,2,1,17,134.3,7.9,61.7%,255.8
10,Travis Kelce,97,133,823,8.5,38,9,3,1,1,16,98.4,6.2,97.2%,241.2
6,Sam LaPorta,60,83,726,12.1,52,11,7,0,0,16,114.6,7.2,97.5%,206.0
7,Tucker Kraft,50,70,707,14.1,67,11,7,3,1,17,113.3,6.7,45.4%,197.75
5,Mark Andrews,55,69,673,12.2,67,6,11,4,0,17,133.8,7.9,92.2%,193.0
16,Hunter Henry,66,97,674,10.2,35,4,2,0,0,16,79.4,5.0,53.5%,192.6
8,Zach Ertz,66,91,654,9.9,37,7,7,0,0,17,111.4,6.6,60.9%,190.1
17,Mike Gesicki,65,83,665,10.2,47,5,2,0,1,17,76.5,4.5,20.9%,190.0
9,Pat Freiermuth,65,78,653,10.0,30,7,7,0,2,17,103.3,6.1,61.5%,189.5
14,Cade Otton,59,87,600,10.2,44,7,4,1,1,14,81.6,5.8,45.8%,172.65
12,Kyle Pitts,47,74,602,12.8,52,7,4,0,0,17,84.2,5.0,74.6%,168.95
20,Juwan Johnson,50,66,548,11.0,30,8,3,0,0,17,72.8,4.3,10.6%,156.0
23,Dalton Schultz,53,85,532,10.0,32,5,2,0,0,17,65.2,3.8,53.3%,152.55
11,David Njoku,64,97,505,7.9,29,4,5,0,0,11,84.5,7.7,80.6%,151.15
34,Jake Ferguson,59,86,494,8.4,27,6,0,0,2,14,45.4,3.2,77.6%,144.15
29,Noah Fant,48,64,500,10.4,32,3,1,0,0,14,56.0,4.0,16.2%,142.3
26,Dallas Goedert,42,52,496,11.8,61,7,2,0,0,10,61.6,6.2,52.0%,139.7
25,Chig Okonkwo,52,70,479,9.2,70,4,2,1,1,17,61.6,3.6,24.0%,138.95
27,Will Dissly,50,64,481,9.6,29,5,2,0,0,15,60.1,4.0,22.7%,138.75
13,Isaiah Likely,42,58,477,11.4,49,4,6,0,1,16,81.7,5.1,41.5%,136.95
18,Cole Kmet,47,55,474,10.1,31,7,4,0,0,17,73.4,4.3,49.2%,136.95
24,Austin Hooper,45,59,476,10.6,38,5,3,0,1,17,63.6,3.7,1.1%,136.25
22,Tyler Conklin,51,72,449,8.8,27,7,4,1,0,16,70.9,4.4,12.9%,132.1
28,Dalton Kincaid,44,75,448,10.2,29,5,2,0,0,13,56.8,4.4,78.6%,128.4
33,T.J. Hockenson,41,62,455,11.1,34,5,0,0,0,10,45.5,4.6,82.4%,128.1
19,Noah Gray,40,49,437,10.9,35,6,5,1,0,17,73.3,4.3,16.3%,125.75
30,Brenton Strange,40,53,411,10.3,30,7,2,0,1,17,51.1,3.0,20.1%,117.75
21,Foster Moreau,32,43,413,12.9,41,7,5,0,0,17,71.3,4.2,1.4%,116.95
31,Jordan Akins,40,58,390,9.8,21,3,2,0,0,17,51.0,3.0,1.0%,112.5
36,Evan Engram,47,64,365,7.8,24,2,1,0,1,9,42.5,4.7,54.2%,108.2
37,Ja'Tavion Sanders,33,43,342,10.4,46,6,1,0,0,16,40.2,2.5,3.5%,97.55
38,Theo Johnson,29,43,331,11.4,35,4,1,0,0,12,39.1,3.3,2.6%,93.4
39,Dawson Knox,22,33,311,14.1,39,7,1,0,0,16,37.1,2.3,6.5%,85.95
41,Colby Parkinson,30,49,294,9.8,23,2,1,0,0,17,35.4,2.1,13.6%,84.5
40,Grant Calcaterra,24,30,298,12.4,34,6,1,0,0,17,35.8,2.1,3.3%,83.4
32,AJ Barner,30,38,245,8.2,20,1,4,0,0,17,48.5,2.9,1.0%,73.75
35,Josh Oliver,22,28,258,11.7,28,5,3,0,0,15,43.8,2.9,0.3%,73.7
43,Josh Whyle,28,37,248,8.9,33,3,1,0,0,17,32.8,1.9,0.1%,72.3
46,Luke Schoonmaker,27,36,241,8.9,24,3,1,0,0,17,30.1,1.8,3.1%,70.2
42,Tommy Tremble,23,32,234,10.2,38,2,2,0,1,12,33.4,2.8,0.2%,67.55
57,Stone Smartt,16,19,208,13.0,31,4,0,0,1,15,18.8,1.3,2.7%,57.6
50,Darnell Washington,19,25,200,10.5,29,3,1,0,0,17,26.0,1.5,0.3%,57.15
15,Taysom Hill,23,31,187,8.1,34,2,0,39,1,8,80.3,10.0,23.5%,54.8
45,Adam Trautman,13,22,188,14.5,37,2,2,0,0,17,30.8,1.8,0.1%,52.55
48,Elijah Higgins,20,24,172,8.6,23,1,2,0,0,17,29.2,1.7,0.6%,51.0
59,Kylen Granson,14,31,182,13.0,40,3,0,0,0,17,18.2,1.1,0.2%,50.4
62,Erick All Jr.,20,22,158,7.9,28,1,0,0,0,9,15.8,1.8,0.8%,46.5
